climb_id,name,grade,grade_value,display_difficulty,angle,is_benchmark,num_holds,num_start_holds,num_finish_holds,density_bottom,density_top,density_left,density_right,avg_distance,max_distance,min_distance,std_distance
002047402B6941CEA5ED7BB09FBFE14D,4/26 Harder Than It Should Be,V4,4.0,18.0,,1,23,2,11,0.041666666666666664,0.16666666666666666,0.125,0.08333333333333333,71.82826049919848,177.17787672280082,5.656854249492381,38.543100016431914
002ED50792A94E5EB2127D59E167B2EE,what kind of triangle,V8,8.0,25.0,,1,34,1,18,0.041666666666666664,0.19444444444444445,0.18055555555555555,0.05555555555555555,64.11867326200631,203.09603639657766,5.656854249492381,39.04781130866469
004FB7A0C0754DA98634C5EE4D985D9A,SpEeD cLiMbInG,V12,12.0,29.0,,0,23,0,15,0.041666666666666664,0.16666666666666666,0.19444444444444445,0.013888888888888888,64.06335588346526,169.799882214329,5.656854249492381,34.648960512099485
00683d10a8e246b3a106531c8573f13c,marks 1 try,V1,1.0,14.3333,,1,13,2,5,0.013888888888888888,0.125,0.1111111111111111,0.027777777777777776,80.31865569706662,191.41577782408638,5.656854249492381,45.57766781469105
00690bbc93fd4e55974a60c9dd601474,Tic tac toe Sogndal,V3,3.0,16.0,,1,10,2,7,0.013888888888888888,0.08333333333333333,0.027777777777777776,0.06944444444444445,84.24870479053345,164.730082255792,8.0,40.447773829769815
006f95cbc91545afa69ff5ff4a737f45,elmer vincent 3,V3,3.0,16.0,,0,14,2,6,0.027777777777777776,0.1527777777777778,0.16666666666666666,0.013888888888888888,71.25169268469106,188.04254837669055,5.656854249492381,45.88696843313933
009fba3611b14b43abf535fad75e75bc,pumpkin,V0,0.0,12.0,,0,33,2,26,0.05555555555555555,0.1527777777777778,0.20833333333333334,0.0,62.9952368719964,161.78998732925348,5.656854249492381,37.70009417943189
00A14B4AA94B4E18B32DC9B047AC4545,dead points (tristyn) 1,V3,3.0,17.5,,1,7,2,2,0.013888888888888888,0.06944444444444445,0.06944444444444445,0.013888888888888888,85.16066786969648,162.0863967148385,8.0,43.96799355794001
00A7E21491AB4701963AAFD114728697,easy clap,V4,4.0,19.3333,,0,33,1,0,0.027777777777777776,0.125,0.1527777777777778,0.0,51.953990353411605,160.79800993793424,5.656854249492381,34.42243597537551
00b51e6f641548c6b212575b1b2e9619,pinoccio,V5,5.0,21.0,,1,13,1,5,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,68.42066854398344,175.45369759569047,8.0,33.91160172240424
